Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
栗耳鳳眉,Staphida torqueola,Indochinese Yuhina,species,,,
冠羽畫眉,Yuhina brunneiceps,Taiwan Yuhina,species,1,endemic species,1
紅?繡眼,Zosterops erythropleurus,Chestnut-flanked White-eye,species,,,
斯氏繡眼,Zosterops simplex,Swinhoe's White-eye,species,1,,1
日菲繡眼,Zosterops japonicus,Warbling White-eye,species,,,
印度繡眼,Zosterops palpebrosus,Indian White-eye,species,,,
低地繡眼,Zosterops meyeni,Lowland White-eye,species,,,
山紅頭,Cyanoderma ruficeps,Rufous-capped Babbler,species,1,endemic subspecies,1
小彎嘴,Pomatorhinus musicus,Taiwan Scimitar-Babbler,species,1,endemic species,1
大彎嘴,Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,species,1,endemic species,1
頭烏線,Schoeniparus brunneus,Dusky Fulvetta,species,1,endemic subspecies,1
繡眼畫眉,Alcippe morrisonia,Morrison's Fulvetta,species,1,endemic species,1
台灣噪眉,Trochalopteron morrisonianum,White-whiskered Laughingthrush,species,1,endemic species,1
白耳畫眉,Heterophasia auricularis,White-eared Sibia,species,1,endemic species,1
紋翼畫眉,Actinodura morrisoniana,Taiwan Barwing,species,1,endemic species,1
紅嘴相思鳥,Leiothrix lutea,Red-billed Leiothrix,species,,,
黃胸藪眉,Liocichla steerii,Steere's Liocichla,species,1,endemic species,1
大陸畫眉,Garrulax canorus,Chinese Hwamei,species,1,,1
台灣畫眉,Garrulax taewanus,Taiwan Hwamei,species,1,endemic species,1
黑喉噪眉,Pterorhinus chinensis,Black-throated Laughingthrush,species,,,
白頰噪眉,Pterorhinus sannio,White-browed Laughingthrush,species,,,
黑臉噪眉,Pterorhinus perspicillatus,Masked Laughingthrush,species,,,
台灣白喉噪眉,Pterorhinus ruficeps,Rufous-crowned Laughingthrush,species,1,endemic species,1
棕噪眉,Pterorhinus poecilorhynchus,Rusty Laughingthrush,species,1,endemic species,1
戴菊鳥,Regulus regulus,Goldcrest,species,,,
火冠戴菊鳥,Regulus goodfellowi,Flamecrest,species,1,endemic species,1
茶腹?,Sitta europaea,Eurasian Nuthatch,species,1,endemic subspecies,1
鷦鷯,Troglodytes troglodytes,Eurasian Wren,species,1,endemic subspecies,1
河烏,Cinclus pallasii,Brown Dipper,species,1,,1
輝椋鳥,Aplonis panayensis,Asian Glossy Starling,species,1,,1
九官鳥,Gracula religiosa,Common Hill Myna,species,,,
歐洲椋鳥,Sturnus vulgaris,European Starling,species,,,
粉紅椋鳥,Pastor roseus,Rosy Starling,species,,,
北椋鳥,Agropsar sturninus,Daurian Starling,species,,,
小椋鳥,Agropsar philippensis,Chestnut-cheeked Starling,species,,,
黑領椋鳥,Gracupica nigricollis,Black-collared Starling,species,1,,1
斑椋鳥,Gracupica contra,Asian Pied Starling,species,,,
灰背椋鳥,Sturnia sinensis,White-shouldered Starling,species,,,
黑冠椋鳥,Sturnia pagodarum,Brahminy Starling,species,,,
灰頭椋鳥,Sturnia malabarica,Chestnut-tailed Starling,species,1,,
絲光椋鳥,Spodiopsar sericeus,Red-billed Starling,species,,,
灰椋鳥,Spodiopsar cineraceus,White-cheeked Starling,species,,,
家八哥,Acridotheres tristis,Common Myna,species,1,,1
岸八哥,Acridotheres ginginianus,Bank Myna,species,,,
葡萄胸椋鳥,Acridotheres burmannicus,Vinous-breasted Starling,species,,,
林八哥,Acridotheres fuscus,Jungle Myna,species,,,
白尾八哥,Acridotheres javanicus,Javan Myna,species,1,,1
大八哥(叢八哥),Acridotheres grandis,Great Myna,species,,,
八哥(冠八哥),Acridotheres cristatellus,Crested Myna,species,1,endemic subspecies,1
長尾麗椋鳥,Lamprotornis caudatus,Long-tailed Glossy Starling,species,,,
栗頭麗椋鳥,Lamprotornis superbus,Superb Starling,species,,,
白氏地鶇,Zoothera aurea,White's Thrush,species,1,,1
虎斑地鶇,Zoothera dauma,Scaly Thrush,species,1,,1
白眉地鶇,Geokichla sibirica,Siberian Thrush,species,,,
橙頭地鶇,Geokichla citrina,Orange-headed Thrush,species,,,
寶興歌鶇,Otocichla mupinensis,Chinese Thrush,species,1,,
歐亞黑鶇,Turdus merula,Eurasian Blackbird,species,,,
中國黑鶇,Turdus mandarinus,Chinese Blackbird,species,,,
白頭鶇,Turdus niveiceps,Taiwan Thrush,species,1,endemic species,1
烏灰鶇,Turdus cardis,Japanese Thrush,species,,,
灰背鶇,Turdus hortulorum,Gray-backed Thrush,species,1,,
褐頭鶇,Turdus feae,Gray-sided Thrush,species,,,
白眉鶇,Turdus obscurus,Eyebrowed Thrush,species,1,,1
赤腹鶇,Turdus chrysolaus,Brown-headed Thrush,species,1,,1
白腹鶇,Turdus pallidus,Pale Thrush,species,1,,1
黑頸鶇,Turdus atrogularis,Black-throated Thrush,species,,,
赤頸鶇,Turdus ruficollis,Red-throated Thrush,species,1,,
斑點鶇,Turdus eunomus,Dusky Thrush,species,1,,
紅尾鶇,Turdus naumanni,Naumann's Thrush,species,1,,1
灰斑鶲,Muscicapa griseisticta,Gray-streaked Flycatcher,species,1,,1
烏鶲,Muscicapa sibirica,Dark-sided Flycatcher,species,1,,
紅尾鶲,Muscicapa ferruginea,Ferruginous Flycatcher,species,1,,1
寬嘴鶲,Muscicapa dauurica,Asian Brown Flycatcher,species,1,,1
褐胸鶲,Muscicapa muttui,Brown-breasted Flycatcher,species,,,
斑鶲,Muscicapa striata,Spotted Flycatcher,species,,,
鵲鴝,Copsychus saularis,Oriental Magpie-Robin,species,1,,1
白腰鵲鴝,Copsychus malabaricus,White-rumped Shama,species,1,,1
海南藍仙鶲,Cyornis hainanus,Hainan Blue Flycatcher,species,,,
中華藍仙鶲,Cyornis glaucicomans,Chinese Blue Flycatcher,species,,,
山藍仙鶲,Cyornis whitei,Hill Blue Flycatcher,species,,,
白喉林鶲,Cyornis brunneatus,Brown-chested Jungle-Flycatcher,species,,,
棕腹大仙鶲,Niltava davidi,Fujian Niltava,species,,,
棕腹仙鶲,Niltava sundara,Rufous-bellied Niltava,species,,,
黃腹琉璃,Niltava vivida,Vivid Niltava,species,1,endemic subspecies,1
白腹琉璃,Cyanoptila cyanomelana,Blue-and-white Flycatcher,species,1,,
琉璃藍鶲,Cyanoptila cumatilis,Zappey's Flycatcher,species,,,
銅藍鶲,Eumyias thalassinus,Verditer Flycatcher,species,1,,
白喉短翅鶇,Brachypteryx leucophris,Lesser Shortwing,species,,,
小翼鶇,Brachypteryx goodfellowi,Taiwan Shortwing,species,1,endemic species,1
紅尾歌鴝,Larvivora sibilans,Rufous-tailed Robin,species,,,
日本歌鴝,Larvivora akahige,Japanese Robin,species,1,,
琉球歌鴝,Larvivora komadori,Ryukyu Robin,species,,,
藍歌鴝,Larvivora cyane,Siberian Blue Robin,species,,,
藍喉鴝,Luscinia svecica,Bluethroat,species,,,
台灣紫嘯鶇,Myophonus insularis,Taiwan Whistling-Thrush,species,1,endemic species,1
白斑紫嘯鶇,Myophonus caeruleus,Blue Whistling-Thrush,species,,,
小剪尾,Enicurus scouleri,Little Forktail,species,1,endemic subspecies,1
野鴝,Calliope calliope,Siberian Rubythroat,species,1,,1
白尾鴝,Myiomela leucura,White-tailed Robin,species,1,endemic subspecies,1
藍尾鴝,Tarsiger cyanurus,Red-flanked Bluetail,species,1,,1
白眉林鴝,Tarsiger indicus,White-browed Bush-Robin,species,1,endemic subspecies,1
栗背林鴝,Tarsiger johnstoniae,Collared Bush-Robin,species,1,endemic species,1
白眉鶲,Ficedula zanthopygia,Yellow-rumped Flycatcher,species,,,
?背姬鶲,Ficedula elisae,Green-backed Flycatcher,species,,,
黃眉黃鶲,Ficedula narcissina,Narcissus Flycatcher,species,1,,
琉球姬鶲,Ficedula owstoni,Ryuku Flycatcher,species,,,
白眉黃鶲,Ficedula mugimaki,Mugimaki Flycatcher,species,1,,
銹胸藍姬鶲,Ficedula erithacus,Slaty-backed Flycatcher,species,,,
黃胸青鶲,Ficedula hyperythra,Snowy-browed Flycatcher,species,1,endemic subspecies,1
橙胸姬鶲,Ficedula strophiata,Rufous-gorgeted Flycatcher,species,,,
紅喉鶲,Ficedula albicilla,Taiga Flycatcher,species,1,,1
紅胸鶲,Ficedula parva,Red-breasted Flycatcher,species,,,
藍額紅尾鴝,Phoenicurus frontalis,Blue-fronted Redstart,species,,,
鉛色水鶇,Phoenicurus fuliginosus,Plumbeous Redstart,species,1,endemic subspecies,1
白頂溪鴝,Phoenicurus leucocephalus,White-capped Redstart,species,,,
赭紅尾鴝,Phoenicurus ochruros,Black Redstart,species,,,
黃尾鴝,Phoenicurus auroreus,Daurian Redstart,species,1,,1
白喉磯鶇,Monticola gularis,White-throated Rock-Thrush,species,,,
藍磯鶇,Monticola solitarius,Blue Rock-Thrush,species,1,,1
黑喉鴝,Saxicola stejnegeri,Amur Stonechat,species,,,
白斑黑石?,Saxicola caprata,Pied Bushchat,species,,,
灰叢鴝,Saxicola ferreus,Gray Bushchat,species,,,
穗?,Oenanthe oenanthe,Northern Wheatear,species,,,
沙?,Oenanthe isabellina,Isabelline Wheatear,species,,,
漠?,Oenanthe deserti,Desert Wheatear,species,,,
白頂?,Oenanthe pleschanka,Pied Wheatear,species,,,
黃連雀,Bombycilla garrulus,Bohemian Waxwing,species,1,,
朱連雀,Bombycilla japonica,Japanese Waxwing,species,1,,
綠啄花,Dicaeum minullum,Plain Flowerpecker,species,1,endemic subspecies,1
紅胸啄花,Dicaeum ignipectus,Fire-breasted Flowerpecker,species,1,endemic subspecies,1
黃腹花蜜鳥,Cinnyris jugularis,Olive-backed Sunbird,species,,,
藍喉太陽鳥,Aethopyga gouldiae,Mrs. Gould's Sunbird,species,,,
叉尾太陽鳥,Aethopyga christinae,Fork-tailed Sunbird,species,1,,
藍翅葉鵯,Chloropsis cochinchinensis,Blue-winged Leafbird,species,,,
金額葉鵯,Chloropsis aurifrons,Golden-fronted Leafbird,species,,,
橙腹葉鵯,Chloropsis hardwickii,Orange-bellied Leafbird,species,,,
非洲金織雀,Ploceus subaureus,African Golden-Weaver,species,,,
黑頭織雀,Ploceus cucullatus,Village Weaver,species,,,
白喉文鳥,Euodice malabarica,Indian Silverbill,species,,,
爪哇雀,Padda oryzivora,Java Sparrow,species,,,
斑文鳥,Lonchura punctulata,Scaly-breasted Munia,species,1,,1
白腰文鳥,Lonchura striata,White-rumped Munia,species,1,,1
黑頭文鳥,Lonchura atricapilla,Chestnut Munia,species,1,,1
白頭文鳥,Lonchura maja,White-headed Munia,species,,,
橙頰梅花雀,Estrilda melpoda,Orange-cheeked Waxbill,species,,,
橫斑梅花雀,Estrilda astrild,Common Waxbill,species,,,
紅梅花雀,Amandava amandava,Red Avadavat,species,,,
針尾維達雀,Vidua macroura,Pin-tailed Whydah,species,,,
岩鷚,Prunella collaris,Alpine Accentor,species,1,endemic subspecies,1
棕眉山岩鷚,Prunella montanella,Siberian Accentor,species,,,
家麻雀,Passer domesticus,House Sparrow,species,,,
山麻雀,Passer cinnamomeus,Russet Sparrow,species,,,
麻雀,Passer montanus,Eurasian Tree Sparrow,species,1,,1
山鶺鴒,Dendronanthus indicus,Forest Wagtail,species,,,
灰鶺鴒,Motacilla cinerea,Gray Wagtail,species,1,,1
西方黃鶺鴒,Motacilla flava,Western Yellow Wagtail,species,,,
東方黃鶺鴒,Motacilla tschutschensis,Eastern Yellow Wagtail,species,1,,1
黃頭鶺鴒,Motacilla citreola,Citrine Wagtail,species,,,
日本鶺鴒,Motacilla grandis,Japanese Wagtail,species,,,
白鶺鴒,Motacilla alba,White Wagtail,species,1,,1
大花鷚,Anthus richardi,Richard's Pipit,species,,,
稻田鷚,Anthus rufulus,Paddyfield Pipit,species,,,
布萊氏鷚,Anthus godlewskii,Blyth's Pipit,species,,,
草地鷚,Anthus pratensis,Meadow Pipit,species,,,
粉紅胸鷚,Anthus roseatus,Rosy Pipit,species,,,
林鷚,Anthus trivialis,Tree Pipit,species,,,
樹鷚,Anthus hodgsoni,Olive-backed Pipit,species,1,,1
白背鷚,Anthus gustavi,Pechora Pipit,species,,,
赤喉鷚,Anthus cervinus,Red-throated Pipit,species,,,
水鷚,Anthus spinoletta,Water Pipit,species,,,
黃腹鷚,Anthus rubescens,American Pipit,species,,,
花雀,Fringilla montifringilla,Brambling,species,1,,1
臘嘴雀,Coccothraustes coccothraustes,Hawfinch,species,,,
小桑鳲,Eophona migratoria,Yellow-billed Grosbeak,species,,,
桑鳲,Eophona personata,Japanese Grosbeak,species,,,
普通朱雀,Carpodacus erythrinus,Common Rosefinch,species,,,
酒紅朱雀,Carpodacus vinaceus,Vinaceous Rosefinch,species,,,
台灣朱雀,Carpodacus formosanus,Taiwan Rosefinch,species,1,endemic species,1
北朱雀,Carpodacus roseus,Pallas's Rosefinch,species,,,
褐鷽,Pyrrhula nipalensis,Brown Bullfinch,species,1,endemic subspecies,1
灰鷽,Pyrrhula owstoni,Taiwan Bullfinch,species,1,endemic species,1
歐亞鷽,Pyrrhula pyrrhula,Eurasian Bullfinch,species,,,
金翅雀,Chloris sinica,Oriental Greenfinch,species,,,
黃額絲雀,Crithagra mozambica,Yellow-fronted Canary,species,,,
赤胸朱頂雀,Linaria cannabina,Eurasian Linnet,species,,,
普通朱頂雀,Acanthis flammea,Common Redpoll,species,,,
紅交嘴雀,Loxia curvirostra,Red Crossbill,species,,,
黃雀,Spinus spinus,Eurasian Siskin,species,1,,1
鐵爪鵐,Calcarius lapponicus,Lapland Longspur,species,,,
雪鵐,Plectrophenax nivalis,Snow Bunting,species,,,
冠鵐,Emberiza lathami,Crested Bunting,species,,,
黑頭鵐,Emberiza melanocephala,Black-headed Bunting,species,,,
褐頭鵐,Emberiza bruniceps,Red-headed Bunting,species,,,
赤胸鵐,Emberiza fucata,Chestnut-eared Bunting,species,,,
草鵐,Emberiza cioides,Meadow Bunting,species,,,
白頂鵐,Emberiza stewarti,White-capped Bunting,species,,,
白頭鵐,Emberiza leucocephalos,Pine Bunting,species,,,
黃喉鵐,Emberiza elegans,Yellow-throated Bunting,species,1,,
紅頸葦鵐,Emberiza yessoensis,Ochre-rumped Bunting,species,,,
葦鵐,Emberiza pallasi,Pallas's Bunting,species,,,
蘆鵐,Emberiza schoeniclus,Reed Bunting,species,,,
金鵐,Emberiza aureola,Yellow-breasted Bunting,species,,,
小鵐,Emberiza pusilla,Little Bunting,species,,,
田鵐,Emberiza rustica,Rustic Bunting,species,,,
野鵐,Emberiza sulphurata,Yellow Bunting,species,,,
黑臉鵐,Emberiza spodocephala,Black-faced Bunting,species,1,,1
鏽鵐,Emberiza rutila,Chestnut Bunting,species,1,,
黃眉鵐,Emberiza chrysophrys,Yellow-browed Bunting,species,,,
白眉鵐,Emberiza tristrami,Tristram's Bunting,species,,,
灰鵐,Emberiza variabilis,Gray Bunting,species,,,
稀樹草鵐,Passerculus sandwichensis,Savannah Sparrow,species,,,
紅冠唐納雀,Paroaria coronata,Red-crested Cardinal,species,,,
雁屬,Anser sp.,,spuh,,,
雁類,Anser/Branta sp.,,spuh,,,
天鵝屬,Cygnus sp.,,spuh,,,
鴨屬,Anas sp.,,spuh,,,
雁鴨科(小型水鴨類),Anatidae sp. (teal sp.),,spuh,,,
雁鴨科(浮水鴨類),Anatidae sp. (dabbling duck sp.),,spuh,,,
潛鴨屬,Aythya sp.,,spuh,,,
秋沙類,Mergellus/Lophodytes/Mergus sp.,,spuh,,,
鴨類(鴨亞科),Anatinae sp.,,spuh,,,
雁鴨類(雁鴨科),Anatidae sp.,,spuh,,,
雉類(雉亞科),Phasianidae sp. (pheasant sp.),,spuh,,,
鸊鷉屬,Podiceps sp.,,spuh,,,
鸊鷉科,Podicipedidae sp.,,spuh,,,
鴿屬,Columba sp.,,spuh,,,
斑鳩屬,Streptopelia sp.,,spuh,,,
綠鳩屬,Treron sp.,,spuh,,,
鳩鴿科,Columbidae sp.,,spuh,,,
鴉鵑屬,Centropus sp.,,spuh,,,
鷹鵑屬,Hierococcyx sp.,,spuh,,,
杜鵑屬,Cuculus sp.,,spuh,,,
杜鵑科,Cuculidae sp.,,spuh,,,
夜鷹屬,Caprimulgus sp.,,spuh,,,
夜鷹科,Caprimulgidae sp.,,spuh,,,
針尾雨燕屬,Hirundapus sp.,,spuh,,,
暗色金絲燕類,Aerodramus sp.,,spuh,,,
金絲燕類,Collocalia/Aerodramus sp.,,spuh,,,
叉尾雨燕複合群,Apus pacificus/salimalii/leuconyx/cooki,,spuh,,,
雨燕屬,Apus sp.,,spuh,,,
雨燕科(大型),Apodidae sp. (large swift sp.),,spuh,,,
雨燕科(小型),Apodidae sp. (small swift sp.),,spuh,,,
雨燕科,Apodidae sp.,,spuh,,,
紫水雞類,Porphyrio sp. (swamphen sp.),,spuh,,,
水雞類,Gallinula/Fulica/Porphyrio sp.,,spuh,,,
秧雞屬,Rallina sp.,,spuh,,,
秧雞科,Rallidae sp. (rail/crake sp.),,spuh,,,
鶴科,Gruidae sp.,,spuh,,,
灰/金斑鴴類,Pluvialis sp.,,spuh,,,
小型鴴類,Charadrius sp.,,spuh,,,
鴴科,Charadriidae sp.,,spuh,,,
杓鷸屬,Numenius sp.,,spuh,,,
塍鷸屬,Limosa sp.,,spuh,,,
濱鷸屬,Calidris sp.,,spuh,,,
田鷸屬,Gallinago sp.,,spuh,,,
瓣足鷸屬,Phalaropus sp.,,spuh,,,
鷸屬,Tringa sp.,,spuh,,,
鷸科,Scolopacidae sp.,,spuh,,,
鷸科(大型),Scolopacidae sp. (large shorebird sp.),,spuh,,,
三趾鶉屬,Turnix sp.,,spuh,,,
?形目,Charadriiformes sp.,,spuh,,,
中/短尾/長尾賊鷗,Stercorarius sp. (jaeger sp.),,spuh,,,
賊鷗類,Stercorarius sp.,,spuh,,,
小型海雀類,Brachyramphus/Synthliboramphus sp.,,spuh,,,
大鷗(白翅),Larus sp. (white-winged gull sp.),,spuh,,,
大鷗類,Larus sp.,,spuh,,,
鷗屬,Larinae sp.,,spuh,,,
浮鷗屬,Chlidonias sp.,,spuh,,,
燕鷗屬,Sterna sp.,,spuh,,,
鳳頭燕鷗屬,Thalasseus sp.,,spuh,,,
大型燕鷗類,Hydroprogne/Thalasseus sp.,,spuh,,,
燕鷗亞科,Sterninae sp.,,spuh,,,
鷗或燕鷗類(鷗科),Laridae sp.,,spuh,,,
熱帶鳥類,Phaethon sp.,,spuh,,,
潛鳥屬,Gavia sp.,,spuh,,,
信天翁類,Diomedeidae sp.,,spuh,,,
海燕屬,Hydrobates sp.,,spuh,,,
海燕類(暗腰),Oceanitidae/Hydrobatidae sp. (dark-rumped),,spuh,,,
海燕類(白腰),Oceanitidae/Hydrobatidae sp. (white-rumped),,spuh,,,
海燕類,Oceanitidae/Hydrobatidae sp.,,spuh,,,
黑白水薙鳥類,Puffinus sp. (black-and-white shearwater sp.),,spuh,,,
水薙鳥類,Procellariidae sp. (shearwater sp.),,spuh,,,
?科,Procellariidae sp.,,spuh,,,
軍艦鳥類,Fregata sp.,,spuh,,,
鰹鳥類,Sula sp.,,spuh,,,
鸕鷀類,Phalacrocoracidae sp.,,spuh,,,
葦鷺屬,Ixobrychus sp.,,spuh,,,
白鷺類,Ardea/Egretta/Bubulcus sp.,,spuh,,,
鷺科,Ardeidae sp.,,spuh,,,
䴉科,Threskiornithidae sp. (ibis sp.),,spuh,,,
琵鷺屬,Platalea sp.,,spuh,,,
鵰屬,Aquila sp.,,spuh,,,
花鵰屬/鵰屬,Clanga/Aquila sp.,,spuh,,,
澤鵟屬,Circus sp.,,spuh,,,
雀鷹屬,Accipiter sp.,,spuh,,,
鵟屬,Buteo sp.,,spuh,,,
鵟屬/鵰類,Buteo/eagle sp.,,spuh,,,
鷹科(鷹類),Accipitridae sp. (hawk sp.),,spuh,,,
鷹科(鵰類),Accipitridae sp. (eagle sp.),,spuh,,,
角鴞屬,Otus sp.,,spuh,,,
鴟鴞類,Strigiformes sp.,,spuh,,,
綠啄木屬,Picus sp.,,spuh,,,
啄木鳥科,Picidae sp.,,spuh,,,
大型隼,Falco sp. (large falcon sp.),,spuh,,,
小型隼,Falco sp. (small falcon sp.),,spuh,,,
隼屬,Falco sp.,,spuh,,,
日行性猛禽類,Accipitriformes/Falconiformes sp.,,spuh,,,
鳳頭鸚鵡屬,Cacatua sp.,,spuh,,,
彩虹吸蜜鸚鵡複合群,Trichoglossus sp. (rainbow lorikeet complex),,spuh,,,
小型鸚鵡類,Psittaciformes sp. (parakeet sp.),,spuh,,,
大型鸚鵡類,Psittaciformes sp. (parrot sp.),,spuh,,,
紅黃色系山椒鳥類,Pericrocotus sp. (red minivet sp.),,spuh,,,
灰色系山椒鳥類,Pericrocotus sp. (grey minivet sp.),,spuh,,,
山椒鳥屬,Pericrocotus sp.,,spuh,,,
卷尾屬,Dicrurus sp.,,spuh,,,
綬帶屬,Terpsiphone sp.,,spuh,,,
伯勞屬,Lanius sp.,,spuh,,,
鴉屬,Corvus sp. (crow sp.),,spuh,,,
鴉屬(烏鴉/渡鴉),Corvus sp.,,spuh,,,
Poecile屬,Poecile sp.,,spuh,,,
Calandrella屬,Calandrella sp.,,spuh,,,
Alaudala屬,Alaudala sp.,,spuh,,,
短趾百靈類(Calandrella/Alaudala),Calandrella/Alaudala sp.,,spuh,,,
百靈科,Alaudidae sp.,,spuh,,,
鷦鶯屬,Prinia sp.,,spuh,,,
扇尾鶯屬,Cisticola sp.,,spuh,,,
葦鶯屬,Acrocephalus sp.,,spuh,,,
Helopsaltes屬,Helopsaltes sp.,,spuh,,,
蝗鶯屬,Locustella sp.,,spuh,,,
Helopsaltes/蝗鶯屬,Helopsaltes/Locustella sp.,,spuh,,,
沙燕屬,Riparia sp.,,spuh,,,
燕科,Hirundinidae sp.,,spuh,,,
鵯屬,Pycnonotus sp.,,spuh,,,
金眶鶲鶯複合群,Phylloscopus sp. (burkii complex),,spuh,,,
柳鶯屬,Phylloscopus sp.,,spuh,,,
樹鶯屬,Horornis sp.,,spuh,,,
鶯屬/林鶯屬,Sylvia/Curruca sp.,,spuh,,,
繡眼屬,Zosterops sp.,,spuh,,,
Garrulax屬,Garrulax sp.,,spuh,,,
Ianthocincla/Pterorhinus屬,Ianthocincla/Pterorhinus sp.,,spuh,,,
噪眉類,Leiothrichidae sp. (laughingthrush sp.),,spuh,,,
八哥屬(黑八哥類),Acridotheres sp. (black myna sp.),,spuh,,,
八哥屬,Acridotheres sp.,,spuh,,,
椋鳥科,Sturnidae sp.,,spuh,,,
鶇屬,Turdus sp.,,spuh,,,
鶇科,Turdidae sp.,,spuh,,,
鶲屬,Muscicapa sp.,,spuh,,,
仙鶲屬,Niltava sp.,,spuh,,,
紫嘯鶇屬,Myophonus sp.,,spuh,,,
姬鶲屬,Ficedula sp.,,spuh,,,
?屬,Oenanthe sp.,,spuh,,,
鶲科,Muscicapidae sp.,,spuh,,,
啄花屬,Dicaeum sp.,,spuh,,,
文鳥屬,Lonchura sp.,,spuh,,,
麻雀屬,Passer sp.,,spuh,,,
鶺鴒屬,Motacilla sp.,,spuh,,,
鷚屬,Anthus sp.,,spuh,,,
雀科,Fringillidae sp.,,spuh,,,
鵐屬,Emberiza sp.,,spuh,,,
雀形目,Passeriformes sp.,,spuh,,,
鳥類,Aves sp.,,spuh,,,
